sourceid,destid,distance,duration,duration_in_traffic
2,3,4768,814,1182
2,4,4994,789,1213
2,51,21782,2598,4726
2,53,29096,3478,6454
2,54,25672,3124,5809
2,55,25208,2902,5011
2,56,24550,2932,5156
2,81,26726,3430,6075
2,87,33112,3775,7213
2,10,10549,1506,2293
2,11,9082,1328,1856
2,5,8395,1360,2420
2,6,11736,1791,3077
2,7,8899,1407,2578
2,8,11322,1738,2562
2,9,8676,1198,1643
2,130,27336,3622,6632
2,159,40881,4377,5904
2,40,22484,3698,5408
2,72,28542,3808,6274
2,16,12356,1816,2822
2,160,30193,3875,6758
2,17,14211,2162,3423
2,37,14372,2174,3448
2,38,15445,2285,4049
2,42,15953,2322,4243
2,69,18121,2595,4597
2,73,21084,2909,5217
2,12,14021,2168,2832
2,13,14929,2116,3295
2,14,16394,2458,3354
2,15,14638,2199,3526
2,39,16094,2515,4336
2,41,17012,2675,4903
2,70,19668,2956,5123
2,71,20229,3323,6109
2,102,21339,3050,5379
2,43,17094,2555,4635
2,44,15915,2565,4263
2,67,18034,2793,4742
2,68,17098,2787,4738
2,74,19753,2859,5035
2,75,18840,2738,4861
2,35,15559,1987,3974
2,36,13897,2125,3326
2,45,16475,2648,4132
2,64,16541,2266,4566
2,65,17707,2714,4363
2,66,17419,2681,4512
2,76,18961,2963,5142
2,18,14120,2091,3315
2,19,13030,2122,3158
2,20,13712,1704,3347
2,21,12717,1800,3476
2,22,14162,2094,4027
2,33,13994,1878,3630
2,34,14422,1796,3607
2,46,15618,2047,3950
2,31,17288,2463,4391
2,32,15795,2040,3763
2,47,15981,2291,4342
2,48,17525,2540,4484
2,60,20245,2442,4441
2,61,17851,2428,4776
2,78,18758,2505,5086
2,23,15116,1926,3519
2,24,15801,1745,3270
2,27,19497,2343,4265
2,28,19091,2370,4544
2,29,17760,2122,3840
2,30,17994,2512,4492
2,49,18955,2283,4164
2,59,21031,2636,4760
2,113,26780,3849,7642
2,50,21332,2713,4763
2,57,24337,2997,5339
2,58,24843,3326,6480
2,79,22275,2805,4916
2,80,23720,3252,6031
2,88,24978,3521,6935
2,110,21094,2882,5975
2,62,16706,2197,4313
2,63,17628,2232,4625
2,90,22190,2838,6041
2,91,19263,2661,5293
2,92,18567,2452,4885
2,93,18091,2143,4846
2,111,21129,2830,6094
2,112,24823,3247,7065
2,114,27528,3768,7478
2,115,23867,3278,7306
2,116,24489,3468,7384
2,117,22650,3051,6531
2,89,22313,3170,6241
2,109,20270,2718,5639
2,120,22239,3539,6159
2,121,22917,3615,6158
2,77,18048,2378,4674
2,94,19020,2533,5390
2,95,20955,3329,5798
2,96,20414,3245,5651
2,100,20149,3169,5416
2,101,22197,3131,5547
2,107,19822,2966,5016
2,108,20692,3127,5334
2,97,19516,3128,5012
2,98,19120,3037,5249
2,99,19283,2902,4873
2,103,21964,3127,5319
2,104,22954,3240,5733
2,105,21405,3310,5674
2,106,21711,3238,5702
2,125,23593,3258,5658
2,126,24128,3292,5784
2,127,23213,3108,5432
2,128,24114,3042,5278
2,131,25375,3285,5585
2,122,22606,3520,6063
2,123,21517,3207,5648
2,124,22205,3349,5856
2,132,25266,3268,5634
2,133,23577,3585,6196
2,134,23209,3597,6197
2,157,28324,3569,6140
2,158,27549,3419,5771
2,135,22747,3458,6073
2,136,23406,3636,6342
2,137,23547,3666,6409
2,138,23350,3762,6467
2,139,21624,3138,6265
2,140,24304,3931,6870
2,141,24760,3303,6893
2,118,21484,2964,6247
2,119,21299,2879,6161
2,142,24333,3344,7103
2,143,23116,3227,7129
2,144,23980,3510,7453
2,145,23138,3210,6945
2,153,24928,3630,7635
2,155,25010,3552,7364
2,156,29564,3846,6559
2,154,24912,3556,7702
2,162,29029,3687,6219
2,163,29475,3767,6302
2,164,30329,3855,6675
2,161,29017,3650,6143
2,165,31006,4066,7123
2,166,26027,3715,8094
2,167,24758,3523,7736
2,180,27874,4145,8901
2,181,32653,4267,7541
2,182,31111,4199,7215
2,146,25137,3548,7499
2,147,24300,3681,8312
2,148,25690,3692,8081
2,151,27231,3839,8446
2,152,26333,3837,8119
2,178,28007,4106,9156
2,173,28107,4120,9261
2,176,28435,4230,9363
2,168,26700,3811,8153
2,169,26019,3665,7886
2,179,26391,3809,8518
2,149,38936,4840,9130
2,150,33153,4091,8102
2,82,29411,3676,6373
2,83,38720,4669,6535
2,84,34376,4263,8294
2,85,29400,3441,6597
2,174,39017,4424,8825
2,175,30082,4420,10541
2,186,33659,4599,8164
2,187,35442,4854,8986
2,188,30070,4482,9689
2,189,30183,4531,10593
2,190,41429,4893,9614
2,191,42114,5168,10158
2,193,50576,5316,8673
2,184,33249,4572,7785
2,185,33435,4498,7798
2,192,58895,5960,9143
2,194,55467,5294,7254
2,195,35822,4950,8892
2,196,57332,5595,7669
2,1,7637,1204,2139
2,52,25172,3179,5744
2,129,24525,3272,5786
2,170,26954,4040,8337
2,171,26967,3940,8442
2,183,28395,4205,8949
2,197,34930,4706,8288
2,177,28349,4198,9145
2,172,27826,4053,8908
2,26,21985,2632,4865
2,25,18887,2336,4030
2,86,31765,3643,7009
2,198,33339,4237,7281
3,2,4768,780,1128
3,4,4204,735,1103
3,51,22355,2735,4863
3,53,29669,3616,6622
3,54,26245,3261,5957
3,55,25781,3039,5159
3,56,25122,3069,5298
3,81,27298,3567,6236
3,87,33685,3913,7400
3,10,6931,1029,1511
3,11,5464,851,1109
3,5,8968,1497,2578
3,6,12308,1928,3241
3,7,9622,1542,2170
3,8,7704,1261,1825
3,9,5058,722,900
3,130,23718,3145,5864
3,159,36352,3880,5166
3,40,18617,3105,4597
3,72,20360,2900,5308
3,16,8738,1340,1952
3,160,26575,3399,5942
3,37,10627,1656,2659
3,38,11827,1808,3185
3,42,12335,1845,3485
3,69,14503,2118,3874
3,73,17466,2432,4442
3,12,10154,1576,1985
3,13,11311,1640,2403
3,14,12527,1865,2477
3,15,11020,1722,2659
3,39,14848,2363,3504
3,41,13486,2273,3723
3,70,16050,2480,4384
3,71,16703,2921,4942
3,102,17721,2574,4621
3,43,13476,2079,3871
3,44,12297,2088,3444
3,67,14416,2316,3920
3,68,13480,2311,3879
3,74,16135,2383,4309
3,75,16137,2620,4411
3,35,16132,2124,4094
3,36,10279,1648,2525
3,45,12857,2171,3315
3,64,14829,2379,3984
3,65,14089,2238,3535
3,66,13801,2205,3715
3,76,15308,2475,4241
3,18,10502,1615,2564
3,19,9589,1648,2495
3,20,12558,2038,2963
3,21,11531,2078,3043
3,22,11974,2126,3153
3,33,12799,2222,3292
3,34,14995,1933,3758
3,46,14464,2380,3540
3,31,17860,2600,4564
3,32,16368,2177,3945
3,47,14775,2633,3935
3,48,17356,2796,4435
3,60,20817,2579,4611
3,61,18424,2565,4915
3,78,16759,2809,4949
3,23,15689,2063,3712
3,24,16374,1882,3433
3,27,20069,2480,4413
3,28,19664,2507,4684
3,29,18333,2260,3996
3,30,18567,2649,4656
3,49,19528,2421,4320
3,59,21604,2773,4909
3,113,28421,3866,7409
3,50,21905,2851,4911
3,57,24909,3134,5524
3,58,25785,3481,6149
3,79,22847,2942,5083
3,80,23670,3383,5795
3,88,26618,3538,6704
3,110,19940,3215,5650
3,62,15552,2530,3923
3,63,18201,2370,4776
3,90,23608,3241,5241
3,91,18448,3038,4978
3,92,16567,2755,4756
3,93,16091,2447,4697
3,111,21701,2968,6240
3,112,25335,3667,6170
3,114,27943,3652,7761
3,115,21867,3582,7140
3,116,23485,3794,7005
3,117,21156,3368,6018
3,89,22886,3307,6381
3,109,20843,2855,5771
3,120,18621,3062,5341
3,121,18171,3229,5358
3,77,15102,2469,3986
3,94,17009,2866,4755
3,95,16422,2755,4525
3,96,16796,2769,4818
3,100,16691,2728,4497
3,101,17810,2881,5042
3,107,16204,2490,4195
3,108,17074,2650,4501
3,97,15898,2651,4229
3,98,15502,2561,4427
3,99,15665,2425,4066
3,103,17937,2531,4597
3,104,19226,2996,5190
3,105,17787,2833,4849
3,106,17532,2815,4757
3,125,19533,3037,5317
3,126,20510,2815,4997
3,127,19595,2631,4660
3,128,20496,2565,4552
3,131,21757,2808,4857
3,122,18988,3043,5278
3,123,17899,2730,4833
3,124,18587,2872,5050
3,132,21648,2791,4911
3,133,19959,3109,5370
3,134,19591,3121,5387
3,157,24706,3092,5399
3,158,23931,2942,5038
3,135,19129,2981,5236
3,136,19788,3160,5549
3,137,19929,3189,5570
3,138,19732,3286,5632
3,139,22197,3276,6389
3,140,20686,3454,6011
3,141,20875,3421,5868
3,118,20592,3304,5948
3,119,19300,3182,6030
3,142,22147,3721,6561
3,143,21962,3561,6824
3,144,21981,3813,7300
3,145,21984,3543,6650
3,153,24036,3970,7312
3,155,22185,3735,6384
3,156,25946,3369,5791
3,154,28242,3718,6299
3,162,25818,3330,5433
3,163,25857,3291,5555
