sourceid,destid,distance,duration,fare
2,3,8869,3169,20
2,4,5461,2377,20
2,51,22815,6046,39
2,53,29207,7981,100
2,54,27843,7293,95
2,55,25000,6808,90
2,56,24278,6332,85
2,81,33714,8221,42
2,87,27762,7056,92
2,10,13118,3786,34
2,11,12156,3671,27
2,5,9359,3544,25
2,6,13883,4133,40
2,7,9793,3465,22
2,8,11316,3841,24
2,9,13671,4368,29
2,130,34576,8074,43
2,159,35655,8549,40
2,40,30515,7905,53
2,72,31554,7600,55
2,16,17865,4887,35
2,160,33160,7473,55
2,17,17455,4991,35
2,37,18103,5153,30
2,38,19651,5630,37
2,42,19893,5302,39
2,69,22056,5999,39
2,73,26787,6631,39
2,12,18050,5385,39
2,13,18619,5377,30
2,14,19958,6060,45
2,15,18892,5097,30
2,39,18238,5513,35
2,41,19247,5037,37
2,70,22528,6023,37
2,71,23026,5903,38
2,102,25162,6357,50
2,43,21012,5701,39
2,44,19849,5740,30
2,67,19305,5090,75
2,68,27307,6378,52
2,74,24406,6043,50
2,75,23361,5817,50
2,36,17481,4710,30
2,45,16491,4626,30
2,64,17852,5078,40
2,65,20136,5249,47
2,66,18735,4951,35
2,76,20302,4932,40
2,18,13947,4459,35
2,19,12974,4212,20
2,20,12591,3364,20
2,21,12257,3631,20
2,22,12847,4099,20
2,33,14216,4262,20
2,34,13948,3729,20
2,46,14898,4264,40
2,31,17927,5127,75
2,32,16258,4545,30
2,47,17433,4902,40
2,48,18127,5089,45
2,60,27080,5134,0
2,61,18314,5476,50
2,78,20149,5375,57
2,23,16267,4881,70
2,24,16251,4416,67
2,27,19040,5529,67
2,28,18818,5433,72
2,29,17856,5366,75
2,30,17817,5043,75
2,49,22232,5944,62
2,59,22768,5832,62
2,113,34124,7525,55
2,50,25502,7276,64
2,57,26311,7226,90
2,58,32189,7686,61
2,79,22887,6843,62
2,80,26435,5885,45
2,88,29411,7164,42
2,110,19386,5351,22
2,62,16917,4847,45
2,63,18147,4930,47
2,90,20715,6042,77
2,91,20478,5784,75
2,92,19051,5235,47
2,93,17886,4512,22
2,111,23127,5879,32
2,112,25417,6052,95
2,114,33523,7669,65
2,115,29687,6742,54
2,116,29357,6824,54
2,117,27269,6524,52
2,89,25809,6302,43
2,109,19945,4977,23
2,120,22913,5250,45
2,121,23274,5838,45
2,77,19238,4926,35
2,94,18132,4623,35
2,95,19123,5022,35
2,96,22150,5434,40
2,100,23846,5855,50
2,101,24589,6155,50
2,107,21091,5392,85
2,108,22959,5446,45
2,97,20595,5312,40
2,98,20992,5411,40
2,99,22093,5519,45
2,103,27461,6934,52
2,104,25964,6223,50
2,105,25688,6393,50
2,106,24086,5977,38
2,125,27140,6615,52
2,126,27673,6744,50
2,127,28002,6780,52
2,128,29504,6965,54
2,131,30713,7912,54
2,122,23543,5852,45
2,123,24490,6006,45
2,124,25421,6616,40
2,132,27433,6728,52
2,133,25886,6430,95
2,134,25417,6292,50
2,157,25585,6037,50
2,158,28621,7054,41
2,135,25926,6975,40
2,136,25075,5994,50
2,137,24518,6011,45
2,138,24047,5695,45
2,139,22141,5578,40
2,140,23205,5549,45
2,141,24228,5815,45
2,118,21437,5496,32
2,119,22096,5445,39
2,142,24352,5852,37
2,143,23229,5836,37
2,144,23765,6076,42
2,145,22896,5589,32
2,153,25754,6927,37
2,155,26709,6628,39
2,156,27148,6556,39
2,154,26287,6346,39
2,162,27982,6858,41
2,163,28003,7140,41
2,164,27306,6820,39
2,161,29500,7013,42
2,165,28577,6997,41
2,166,26689,6504,39
2,167,25790,6506,39
2,180,28945,6312,65
2,181,29597,7093,42
2,182,30306,7301,42
2,146,25481,6331,95
2,147,26934,6914,39
2,148,31564,7172,55
2,151,28549,7028,41
2,152,26521,6653,39
2,178,28680,6954,41
2,173,29022,7074,41
2,176,30390,7169,42
2,168,26252,6568,39
2,169,26129,6430,39
2,179,27455,6065,63
2,150,34116,8543,115
2,82,28967,7825,100
2,83,33786,8541,104
2,84,40492,9414,45
2,85,30321,7619,100
2,174,31912,7531,42
2,175,32356,8327,52
2,186,29150,7463,41
2,187,29951,7780,42
2,188,32077,8033,42
2,189,32766,8146,54
2,190,33314,8084,42
2,191,36311,9130,44
2,193,32346,7938,42
2,184,32861,8226,42
2,185,31723,6952,70
2,192,36173,9324,58
2,194,35212,8617,44
2,195,32317,7768,42
2,196,34030,8233,44
2,1,7818,3208,25
2,52,27868,7285,95
2,129,29729,7198,39
2,170,28021,6662,41
2,171,27003,6713,39
2,183,29874,7307,67
2,197,33029,7193,70
2,177,29110,7290,41
2,172,28138,6916,41
2,26,24041,7401,90
2,25,20167,6667,77
2,86,33894,8246,44
2,198,37344,9528,69
3,2,8730,3391,20
3,4,4373,1681,10
3,51,22831,6694,39
3,53,29158,8029,94
3,54,27794,7341,89
3,55,24951,6856,84
3,56,24870,6249,39
3,81,33047,8438,55
3,87,27917,7107,95
3,10,7344,2210,17
3,11,5403,2088,10
3,5,9490,3396,25
3,6,13834,4181,32
3,7,9744,3667,22
3,8,11535,3657,27
3,9,5653,2777,10
3,130,29132,6816,29
3,159,29241,6858,25
3,40,23236,6220,37
3,72,19505,5256,37
3,16,9725,3304,22
3,160,29059,6754,60
3,17,10365,3247,19
3,37,11436,3523,19
3,38,17215,4327,30
3,42,18762,4326,35
3,69,14883,4393,29
3,73,20373,4940,23
3,12,10600,3846,25
3,13,11168,3751,19
3,14,14175,4436,29
3,15,11432,3467,19
3,39,12488,3930,20
3,41,13497,3454,20
3,70,15964,4443,20
3,71,16612,4212,22
3,102,20277,5284,32
3,43,14657,4418,32
3,44,15383,4157,25
3,67,15713,3749,22
3,68,16668,4426,22
3,74,18838,4711,32
3,75,18165,4607,27
3,36,10814,3080,19
3,45,12944,3515,20
3,64,15055,4329,20
3,65,14157,3644,20
3,66,15186,3817,25
3,76,17341,3998,30
3,18,10589,3526,25
3,19,11873,3939,27
3,20,12542,3454,20
3,21,12208,3721,20
3,22,12798,4189,20
3,33,14344,4334,30
3,34,13899,3819,20
3,46,14849,4312,30
3,31,20303,5362,37
3,32,16209,5193,30
3,47,17384,4950,30
3,48,18078,5137,35
3,60,21451,5650,37
3,61,21853,6042,37
3,78,22590,5812,37
3,23,18643,5116,35
3,24,18023,4638,36
3,27,21591,5873,37
3,28,24330,6124,54
3,29,17807,5414,67
3,30,20193,5278,37
3,49,22183,5992,52
3,59,22719,5880,52
3,113,31921,7330,42
3,50,25566,7300,54
3,57,26262,7274,84
3,58,32100,8124,59
3,79,21006,6256,75
3,80,26645,5870,47
3,88,30785,6969,52
3,110,21374,5284,32
3,62,16868,4895,35
3,63,18098,4978,37
3,90,20870,6093,75
3,91,20429,5832,69
3,92,19002,5283,37
3,93,17843,5019,59
3,111,24486,5594,37
3,112,25368,6100,89
3,114,31320,7474,52
3,115,27484,6547,41
3,116,27154,6629,41
3,117,25066,6329,39
3,89,22385,6107,85
3,109,22401,4978,45
3,120,21665,5047,39
3,121,21111,5274,37
3,77,15524,3892,22
3,94,16980,4382,36
3,95,19613,4547,35
3,96,19246,4578,35
3,100,18373,4708,22
3,101,19625,5082,32
3,107,17500,4053,22
3,108,18485,4553,22
3,97,18505,4638,30
3,98,17622,4489,22
3,99,16957,4013,22
3,103,22329,5355,23
3,104,20801,4625,23
3,105,20611,5102,23
3,106,18336,4394,22
3,125,21977,5021,23
3,126,22791,5300,23
3,127,22839,5182,23
3,128,24341,5372,24
3,131,25602,6263,24
3,122,19817,4917,22
3,123,19464,4451,23
3,124,19897,4816,23
3,132,22326,5163,33
3,133,21818,5127,23
3,134,23058,5803,23
3,157,23841,5723,33
3,158,26942,6627,39
3,135,20690,5353,23
3,136,24818,6063,38
3,137,23271,5808,39
3,138,22800,5492,39
3,139,22404,4951,45
3,140,23992,5622,41
3,141,22025,5320,32
3,118,20934,5437,39
3,119,20534,5163,39
3,142,25732,5671,39
3,143,25155,5205,50
3,144,23192,6043,57
3,145,24233,5394,47
3,153,27098,6743,47
3,155,28090,6466,41
3,156,27326,5890,58
3,154,26655,5964,41
3,162,29363,6580,42
3,163,28614,7209,40
3,164,28687,6542,42
3,161,31380,6735,42
3,165,28945,6615,42
3,166,28389,5819,58
3,167,27525,5723,55
3,180,29433,5749,60
3,181,30019,6710,65
3,182,30673,6923,42
3,146,25432,6379,89
3,147,28330,6419,41
3,148,29361,6977,42
3,151,29926,6844,42
3,152,25862,6570,52
3,178,29853,6235,65
3,173,30450,6887,42
3,176,29817,7136,57
3,168,27664,6373,41
3,169,27541,6235,41
3,179,27943,5502,58
3,150,34067,8591,109
3,82,28911,7873,102
3,83,33730,8589,106
3,84,38159,9098,109
3,85,30265,7667,97
3,174,33333,7936,44
3,175,33674,7971,64
3,186,30873,6314,62
3,187,31580,6783,70
3,188,31504,8000,57
3,189,34088,7790,66
3,190,34750,7896,44
3,191,37747,8942,45
3,193,35766,7325,74
3,184,35881,7342,75
3,185,32212,6389,65
3,192,37521,8922,67
3,194,37794,7560,85
3,195,33458,6749,72
3,196,35382,7738,44
3,1,8994,2789,17
3,52,27819,7333,89
3,129,26438,5791,24
3,170,29388,6482,42
3,171,28334,6518,47
3,183,28246,6903,40
3,197,33518,6630,65
3,177,30441,7095,52
3,172,27479,6833,54
3,26,25849,7318,42
3,25,21933,6584,46
3,86,35268,8051,57
3,198,33184,8545,60
4,2,5498,2186,15
4,3,4105,1666,10
4,51,18586,5119,32
4,53,24694,7046,42
4,54,26257,7074,43
4,55,23225,6525,42
4,56,23163,5679,39
4,81,24481,7005,92
4,87,23449,6129,85
4,10,9332,2282,19
4,11,7234,2292,15
4,5,7071,2158,15
4,6,9378,3127,25
4,7,5499,2692,15
4,8,7022,3011,15
4,9,7641,2860,15
4,130,27997,6784,29
4,159,31229,6934,25
